gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score
Male,4.0,98.0,6.5,Bachelors,Yes,Yes,No,76.9,100.0
Female,6.3,100.0,5.7,High School,Yes,Yes,Yes,75.5,100.0
Male,4.9,85.3,7.9,Bachelors,Yes,No,Yes,88.5,97.3
Male,2.6,77.5,8.0,High School,Yes,Yes,No,85.1,83.8
Male,2.2,89.6,4.6,Bachelors,Yes,No,Yes,61.8,68.3
Female,4.2,78.2,5.7,High School,Yes,No,No,79.8,81.6
Male,1.5,100.0,5.0,High School,Yes,Yes,Yes,58.6,69.6
Male,6.2,86.4,6.0,High School,Yes,Yes,No,78.4,88.0
Male,5.3,81.3,6.7,Bachelors,Yes,No,No,63.8,84.4
Female,2.8,86.8,5.1,Bachelors,Yes,Yes,No,57.7,74.3
Male,0.9,71.5,5.7,High School,Yes,No,Yes,73.4,68.9
Male,5.5,75.3,5.6,High School,Yes,Yes,No,37.9,76.7
Male,3.3,97.0,7.0,Masters,Yes,Yes,Yes,49.0,82.6
Male,5.4,78.4,6.9,Bachelors,No,No,No,67.9,93.3
Female,1.1,74.5,5.9,Masters,Yes,Yes,Yes,71.0,73.9
Male,2.6,90.4,7.0,High School,Yes,Yes,No,65.6,84.8
Female,3.5,96.9,6.1,Bachelors,Yes,Yes,No,51.0,81.5
Female,3.6,92.2,6.5,Bachelors,Yes,Yes,Yes,60.2,75.5
Female,2.8,95.0,8.8,Masters,No,Yes,No,74.7,89.7
Male,4.4,77.4,8.4,Masters,No,No,Yes,77.0,92.8
Female,1.9,70.8,5.2,High School,Yes,Yes,No,69.8,73.5
Male,3.3,100.0,7.8,High School,Yes,Yes,No,83.9,100.0
Female,3.7,81.8,7.8,High School,No,No,No,74.8,73.4
Female,4.3,82.5,5.4,PhD,No,Yes,No,61.0,71.2
Female,4.6,98.3,7.8,High School,Yes,Yes,Yes,66.6,97.2
Female,1.8,90.6,8.6,High School,Yes,No,No,53.2,76.0
Female,1.2,89.6,5.5,Masters,Yes,No,Yes,68.7,78.7
Female,5.4,100.0,5.7,High School,No,No,No,83.3,97.4
Female,4.0,78.6,8.0,Bachelors,Yes,No,No,78.2,84.2
Female,2.4,94.3,7.1,Bachelors,Yes,Yes,No,86.8,89.8
Male,5.8,85.6,7.5,Bachelors,Yes,No,Yes,66.4,82.4
Male,3.7,87.7,7.2,High School,Yes,Yes,No,86.2,87.7
Female,5.3,100.0,7.3,Masters,Yes,Yes,No,67.7,100.0
Female,3.6,90.1,5.2,Bachelors,No,Yes,No,87.7,93.3
Female,6.6,90.4,8.1,Masters,Yes,Yes,Yes,69.7,100.0
Male,6.1,95.7,8.2,High School,Yes,Yes,Yes,78.5,92.9
Female,3.1,81.4,6.5,High School,Yes,No,Yes,87.7,83.2
Male,5.0,76.6,6.7,High School,Yes,Yes,No,67.7,81.1
Male,4.5,74.6,5.0,High School,Yes,Yes,Yes,72.6,89.5
Male,5.6,65.3,7.4,Masters,Yes,Yes,No,85.5,91.6
Male,2.1,100.0,7.5,High School,Yes,Yes,Yes,68.4,75.3
Male,4.5,74.0,6.7,High School,Yes,No,No,54.1,79.0
