iter	RMSE
0	10.08668544
1	9.861742783
2	9.665751878
3	9.489246979
4	9.332093155
5	9.161369902
6	9.010622164
7	8.853663708
8	8.718747851
9	8.579721565
10	8.449798558
11	8.318832583
12	8.198005788
13	8.083447004
14	7.977505912
15	7.86544326
16	7.759051947
17	7.67052265
18	7.580335162
19	7.496726974
20	7.416211133
21	7.344621449
22	7.281311795
23	7.219584893
24	7.140644756
25	7.068368065
26	7.013213433
27	6.953387998
28	6.891412097
29	6.83826728
30	6.785699764
31	6.734583581
32	6.685410065
33	6.644821873
34	6.597843035
35	6.551779041
36	6.503044197
37	6.468954259
38	6.428353776
39	6.389689323
40	6.357452627
41	6.316604625
42	6.277260526
43	6.25239865
44	6.21858543
45	6.194314897
46	6.164854978
47	6.137255657
48	6.109743034
49	6.0892576
50	6.061427534
51	6.04097496
52	6.014287346
53	5.987827925
54	5.965318259
55	5.932893127
56	5.912252494
57	5.887255975
58	5.869319395
59	5.850695634
60	5.829196075
61	5.820905719
62	5.805989277
63	5.786046864
64	5.770355267
65	5.75327064
66	5.740381492
67	5.71066576
68	5.690191487
69	5.672201029
70	5.660285111
71	5.647466878
72	5.637160331
73	5.624469246
74	5.611953172
75	5.596634434
76	5.584867265
77	5.571374003
78	5.559441058
79	5.547086322
80	5.535637126
81	5.525954364
82	5.506896909
83	5.494301508
84	5.486703843
85	5.478430841
86	5.466299927
87	5.458084197
88	5.450164692
89	5.439536683
90	5.434477934
91	5.426116574
92	5.41887754
93	5.409282934
94	5.402954277
95	5.392091517
96	5.380474906
97	5.370375134
98	5.359176478
99	5.343998103
100	5.332915495
101	5.326899162
102	5.316427762
103	5.307859985
104	5.298061627
105	5.290699259
106	5.280812356
107	5.273642798
108	5.267214147
109	5.25960469
110	5.252997958
111	5.246504717
112	5.236418994
113	5.227720389
114	5.222425301
115	5.214335522
116	5.212483211
117	5.205431421
118	5.201187135
119	5.195522781
120	5.190907717
121	5.181854894
122	5.175773336
123	5.172035725
124	5.169745632
125	5.160360364
126	5.154853445
127	5.154082975
128	5.150346764
129	5.148051609
130	5.146337491
131	5.138455919
132	5.128713661
133	5.124434775
134	5.11849788
135	5.11398012
136	5.110454545
137	5.100862609
138	5.095005069
139	5.091610733
140	5.083993096
141	5.078413157
142	5.073878157
143	5.067166737
144	5.062168488
145	5.058304487
146	5.051714636
147	5.045789116
148	5.040359817
149	5.035060441
150	5.028430969
151	5.026946368
152	5.021657554
153	5.014523949
154	5.009522555
155	5.007068495
156	5.004578707
157	5.00055136
158	4.997278624
159	4.992394159
160	4.989367618
161	4.983419995
162	4.978100049
163	4.974283229
164	4.963691826
165	4.958782804
166	4.954845666
167	4.95276436
168	4.949600289
169	4.948001471
170	4.944864557
171	4.936640562
172	4.924386675
173	4.91821145
174	4.916735869
175	4.91324276
176	4.907942488
177	4.899443873
178	4.893669337
179	4.883027767
180	4.877986757
181	4.870315077
182	4.863906631
183	4.850534974
184	4.843867968
185	4.841890056
186	4.840891288
187	4.837306017
188	4.833938762
189	4.825692529
190	4.821717807
191	4.810014502
192	4.808100179
193	4.805900669
194	4.795288286
195	4.789101297
196	4.783857958
197	4.779654429
198	4.777549292
199	4.776797467
200	4.768912886
201	4.758301309
202	4.756343562
203	4.750619402
204	4.739749301
205	4.734331276
206	4.730570896
207	4.729237408
208	4.724329794
209	4.715909553
210	4.708022697
211	4.69859702
212	4.696678956
213	4.692500811
214	4.687280223
215	4.683075526
216	4.681274055
217	4.67601429
218	4.67053656
219	4.666406682
220	4.663580933
