iter	Passed	Remaining
0	128	64234
1	155	38608
2	184	30609
3	218	27106
4	277	27448
5	308	25434
6	339	23927
7	368	22635
8	399	21820
9	448	21987
10	516	22960
11	629	25592
12	710	26615
13	766	26602
14	840	27165
15	926	28034
16	1009	28678
17	1088	29155
18	1156	29270
19	1197	28741
20	1276	29109
21	1358	29525
22	1457	30236
23	1525	30246
24	1566	29769
25	1604	29253
26	1640	28741
27	1675	28242
28	1712	27811
29	1741	27282
30	1769	26778
31	1799	26321
32	1832	25934
33	1868	25606
34	1904	25301
35	1935	24951
36	1976	24730
37	2020	24569
38	2064	24407
39	2124	24434
40	2172	24315
41	2214	24149
42	2256	23978
43	2295	23788
44	2337	23631
45	2370	23391
46	2401	23142
47	2433	22914
48	2467	22713
49	2500	22506
50	2542	22382
51	2591	22323
52	2624	22137
53	2665	22012
54	2703	21876
55	2742	21742
56	2778	21596
57	2824	21523
58	2875	21493
59	2940	21562
60	2990	21519
61	3007	21248
62	3047	21136
63	3092	21069
64	3131	20956
65	3238	21298
66	3317	21438
67	3357	21332
68	3398	21226
69	3443	21154
70	3479	21023
71	3514	20894
72	3549	20764
73	3583	20627
74	3664	20767
75	3757	20965
76	3792	20831
77	3828	20713
78	3863	20587
79	3896	20458
80	3933	20349
81	3972	20250
82	4011	20151
83	4052	20071
84	4091	19978
85	4136	19912
86	4174	19814
87	4206	19692
88	4243	19597
89	4294	19565
90	4334	19479
91	4368	19374
92	4409	19296
93	4446	19205
94	4481	19106
95	4540	19109
96	4581	19036
97	4608	18904
98	4638	18786
99	4667	18671
100	4698	18561
101	4720	18420
102	4750	18310
103	4781	18206
104	4809	18092
105	4837	17980
106	4868	17880
107	4897	17777
108	4924	17664
109	4954	17565
110	4982	17459
111	5009	17353
112	5035	17245
113	5064	17147
114	5091	17045
115	5122	16955
116	5135	16809
117	5167	16727
118	5193	16627
119	5225	16546
120	5316	16651
121	5417	16783
122	5531	16954
123	5615	17028
124	5702	17107
125	5796	17206
126	5871	17244
127	5900	17149
128	5983	17207
129	6033	17171
130	6062	17076
131	6092	16984
132	6190	17082
133	6260	17100
134	6290	17008
135	6325	16930
136	6354	16838
137	6385	16749
138	6417	16667
139	6449	16583
140	6484	16509
141	6511	16415
142	6540	16327
143	6569	16240
144	6595	16147
145	6623	16060
146	6661	15996
147	6702	15941
148	6811	16046
149	6854	15993
150	6886	15917
151	6918	15839
152	6949	15760
153	7010	15751
154	7053	15699
155	7079	15610
156	7108	15529
157	7144	15463
158	7219	15483
159	7285	15482
160	7351	15478
161	7413	15467
162	7475	15455
163	7539	15447
164	7609	15449
165	7674	15440
166	7730	15415
167	7823	15460
168	7898	15470
169	7969	15470
170	8031	15453
171	8087	15422
172	8151	15407
173	8210	15382
174	8264	15347
175	8325	15327
176	8391	15313
177	8452	15291
178	8512	15264
179	8571	15237
180	8629	15209
181	8689	15182
182	8751	15159
183	8814	15137
184	8882	15125
185	8930	15076
186	8987	15042
187	9022	14974
188	9049	14891
189	9077	14810
190	9103	14727
191	9131	14648
192	9161	14572
193	9189	14494
194	9214	14413
195	9249	14346
196	9316	14329
197	9393	14327
198	9456	14303
199	9518	14277
200	9562	14224
201	9619	14190
202	9683	14166
203	9717	14100
204	9745	14023
205	9775	13951
206	9801	13873
207	9827	13796
208	9858	13726
209	9887	13653
210	9912	13576
211	9937	13499
212	9961	13422
213	9988	13349
214	10013	13273
215	10037	13197
216	10064	13125
217	10090	13052
218	10115	12979
219	10160	12930
220	10185	12858
221	10211	12786
222	10239	12719
223	10264	12647
224	10290	12577
225	10315	12506
226	10340	12435
227	10365	12366
228	10392	12298
229	10418	12230
230	10444	12162
231	10470	12094
232	10501	12033
233	10564	12009
234	10629	11986
235	10689	11957
236	10755	11934
237	10796	11885
238	10823	11819
239	10851	11755
240	10882	11695
241	10924	11647
242	10986	11619
243	11048	11591
244	11093	11546
245	11122	11484
246	11153	11424
247	11185	11365
248	11212	11302
249	11237	11237
250	11264	11174
251	11291	11112
252	11318	11050
253	11368	11010
254	11438	10989
255	11489	10951
256	11522	10894
257	11553	10836
258	11578	10773
259	11603	10711
260	11635	10654
261	11664	10596
262	11695	10539
263	11723	10480
264	11753	10422
265	11788	10369
266	11831	10324
267	11871	10276
268	11902	10221
269	11928	10161
270	11956	10103
271	11988	10049
272	12020	9994
273	12051	9940
274	12080	9884
275	12110	9828
276	12139	9772
277	12166	9716
278	12193	9658
279	12217	9599
280	12242	9541
281	12268	9484
282	12295	9428
283	12324	9373
284	12391	9347
285	12448	9314
286	12499	9276
287	12569	9252
288	12639	9228
289	12716	9208
290	12785	9182
291	12825	9135
292	12865	9089
293	12905	9042
294	12952	9001
295	13000	8960
296	13033	8908
297	13083	8868
298	13174	8856
299	13279	8852
300	13426	8876
301	13529	8870
302	13624	8858
303	13750	8865
304	13814	8832
305	13848	8780
306	13899	8738
307	13982	8716
308	14095	8712
309	14177	8689
310	14266	8669
311	14368	8658
312	14469	8644
313	14565	8627
314	14609	8580
315	14644	8527
316	14680	8474
317	14723	8426
318	14756	8372
319	14788	8318
320	14820	8264
321	14913	8243
322	15013	8227
323	15155	8232
324	15312	8244
325	15403	8221
326	15443	8170
327	15485	8120
328	15527	8070
329	15562	8017
330	15600	7965
331	15629	7908
332	15661	7854
333	15691	7798
