Actual_Score,Predicted_Score,Performance_Category,Recommendation
71.8,78.1463,Good,Maintain regular study and attendance while focusing on areas with lower performance.
66.6,72.48883,Good,Maintain regular study and attendance while focusing on areas with lower performance.
62.9,73.430115,Good,Maintain regular study and attendance while focusing on areas with lower performance.
95.2,92.2286,Excellent,Maintain current study habits and continue consistent academic performance.
90.2,89.471405,Excellent,Maintain current study habits and continue consistent academic performance.
63.6,69.94177,At Risk,"Increase study time, improve attendance, and provide targeted academic support."
96.8,94.27612,Excellent,Maintain current study habits and continue consistent academic performance.
77.9,73.064026,Good,Maintain regular study and attendance while focusing on areas with lower performance.
66.5,71.65411,Good,Maintain regular study and attendance while focusing on areas with lower performance.
59.7,63.74563,At Risk,"Increase study time, improve attendance, and provide targeted academic support."
88.4,89.880295,Excellent,Maintain current study habits and continue consistent academic performance.
71.9,77.88484,Good,Maintain regular study and attendance while focusing on areas with lower performance.
100.0,97.468155,Excellent,Maintain current study habits and continue consistent academic performance.
77.9,77.67264,Good,Maintain regular study and attendance while focusing on areas with lower performance.
77.3,85.085045,Excellent,Maintain current study habits and continue consistent academic performance.
68.8,72.85977,Good,Maintain regular study and attendance while focusing on areas with lower performance.
81.1,76.58244,Good,Maintain regular study and attendance while focusing on areas with lower performance.
94.4,93.17859,Excellent,Maintain current study habits and continue consistent academic performance.
74.0,58.706318,At Risk,"Increase study time, improve attendance, and provide targeted academic support."
80.7,82.67799,Good,Maintain regular study and attendance while focusing on areas with lower performance.
85.2,77.0442,Good,Maintain regular study and attendance while focusing on areas with lower performance.
79.2,85.62715,Excellent,Maintain current study habits and continue consistent academic performance.
82.8,90.073074,Excellent,Maintain current study habits and continue consistent academic performance.
96.4,97.288925,Excellent,Maintain current study habits and continue consistent academic performance.
81.2,77.4268,Good,Maintain regular study and attendance while focusing on areas with lower performance.
85.7,86.5294,Excellent,Maintain current study habits and continue consistent academic performance.
66.3,70.30322,Good,Maintain regular study and attendance while focusing on areas with lower performance.
81.8,88.297714,Excellent,Maintain current study habits and continue consistent academic performance.
73.3,77.87984,Good,Maintain regular study and attendance while focusing on areas with lower performance.
85.8,95.354355,Excellent,Maintain current study habits and continue consistent academic performance.
87.2,91.2009,Excellent,Maintain current study habits and continue consistent academic performance.
80.2,81.58411,Good,Maintain regular study and attendance while focusing on areas with lower performance.
79.3,83.06565,Good,Maintain regular study and attendance while focusing on areas with lower performance.
99.6,97.55763,Excellent,Maintain current study habits and continue consistent academic performance.
80.2,89.465744,Excellent,Maintain current study habits and continue consistent academic performance.
87.3,86.322624,Excellent,Maintain current study habits and continue consistent academic performance.
74.4,87.099335,Excellent,Maintain current study habits and continue consistent academic performance.
84.6,90.894714,Excellent,Maintain current study habits and continue consistent academic performance.
80.7,82.41641,Good,Maintain regular study and attendance while focusing on areas with lower performance.
89.5,89.83519,Excellent,Maintain current study habits and continue consistent academic performance.
63.7,81.81027,Good,Maintain regular study and attendance while focusing on areas with lower performance.
87.4,81.34274,Good,Maintain regular study and attendance while focusing on areas with lower performance.
100.0,99.32028,Excellent,Maintain current study habits and continue consistent academic performance.
67.9,77.28664,Good,Maintain regular study and attendance while focusing on areas with lower performance.
82.3,90.32474,Excellent,Maintain current study habits and continue consistent academic performance.
88.3,77.925354,Good,Maintain regular study and attendance while focusing on areas with lower performance.
71.2,78.8235,Good,Maintain regular study and attendance while focusing on areas with lower performance.
95.1,92.53304,Excellent,Maintain current study habits and continue consistent academic performance.
100.0,95.74261,Excellent,Maintain current study habits and continue consistent academic performance.
88.7,87.08838,Excellent,Maintain current study habits and continue consistent academic performance.
63.3,77.07015,Good,Maintain regular study and attendance while focusing on areas with lower performance.
85.6,85.99086,Excellent,Maintain current study habits and continue consistent academic performance.
79.7,85.51961,Excellent,Maintain current study habits and continue consistent academic performance.
83.3,76.7651,Good,Maintain regular study and attendance while focusing on areas with lower performance.
71.2,78.45174,Good,Maintain regular study and attendance while focusing on areas with lower performance.
82.4,91.936646,Excellent,Maintain current study habits and continue consistent academic performance.
79.1,69.42453,At Risk,"Increase study time, improve attendance, and provide targeted academic support."
68.9,65.93996,At Risk,"Increase study time, improve attendance, and provide targeted academic support."
71.5,70.74501,Good,Maintain regular study and attendance while focusing on areas with lower performance.
65.4,74.04353,Good,Maintain regular study and attendance while focusing on areas with lower performance.
70.9,71.69325,Good,Maintain regular study and attendance while focusing on areas with lower performance.
99.8,94.08163,Excellent,Maintain current study habits and continue consistent academic performance.
88.8,92.3403,Excellent,Maintain current study habits and continue consistent academic performance.
73.1,71.10954,Good,Maintain regular study and attendance while focusing on areas with lower performance.
80.9,90.47866,Excellent,Maintain current study habits and continue consistent academic performance.
92.2,89.196915,Excellent,Maintain current study habits and continue consistent academic performance.
94.2,94.80455,Excellent,Maintain current study habits and continue consistent academic performance.
80.3,75.61862,Good,Maintain regular study and attendance while focusing on areas with lower performance.
79.6,80.88298,Good,Maintain regular study and attendance while focusing on areas with lower performance.
91.8,96.19789,Excellent,Maintain current study habits and continue consistent academic performance.
74.0,76.81152,Good,Maintain regular study and attendance while focusing on areas with lower performance.
82.1,88.54435,Excellent,Maintain current study habits and continue consistent academic performance.
89.0,81.627815,Good,Maintain regular study and attendance while focusing on areas with lower performance.
94.0,87.41655,Excellent,Maintain current study habits and continue consistent academic performance.
84.5,88.07911,Excellent,Maintain current study habits and continue consistent academic performance.
74.1,73.99728,Good,Maintain regular study and attendance while focusing on areas with lower performance.
88.0,89.21028,Excellent,Maintain current study habits and continue consistent academic performance.
91.6,95.163155,Excellent,Maintain current study habits and continue consistent academic performance.
72.2,73.13655,Good,Maintain regular study and attendance while focusing on areas with lower performance.
72.8,73.53281,Good,Maintain regular study and attendance while focusing on areas with lower performance.
84.1,82.510124,Good,Maintain regular study and attendance while focusing on areas with lower performance.
67.8,77.954025,Good,Maintain regular study and attendance while focusing on areas with lower performance.
76.4,80.75777,Good,Maintain regular study and attendance while focusing on areas with lower performance.
79.2,86.19498,Excellent,Maintain current study habits and continue consistent academic performance.
84.2,90.00637,Excellent,Maintain current study habits and continue consistent academic performance.
100.0,97.23098,Excellent,Maintain current study habits and continue consistent academic performance.
82.2,75.093414,Good,Maintain regular study and attendance while focusing on areas with lower performance.
91.9,96.071335,Excellent,Maintain current study habits and continue consistent academic performance.
67.2,86.311264,Excellent,Maintain current study habits and continue consistent academic performance.
82.6,89.77432,Excellent,Maintain current study habits and continue consistent academic performance.
76.8,78.62704,Good,Maintain regular study and attendance while focusing on areas with lower performance.
82.0,84.374435,Good,Maintain regular study and attendance while focusing on areas with lower performance.
84.9,87.159134,Excellent,Maintain current study habits and continue consistent academic performance.
86.8,83.61713,Good,Maintain regular study and attendance while focusing on areas with lower performance.
96.8,91.90682,Excellent,Maintain current study habits and continue consistent academic performance.
100.0,93.79806,Excellent,Maintain current study habits and continue consistent academic performance.
85.4,80.04102,Good,Maintain regular study and attendance while focusing on areas with lower performance.
78.9,87.269005,Excellent,Maintain current study habits and continue consistent academic performance.
73.0,74.527115,Good,Maintain regular study and attendance while focusing on areas with lower performance.
86.3,86.41611,Excellent,Maintain current study habits and continue consistent academic performance.
